Time [s],Channel 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.86402975,0,,0.000459958,,459.958,,459,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.864541542,1,,0.000511792,,511.792,,511,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.864950042,0,,0.0004085,,408.5,,408,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.865538292,1,,0.00058825,,588.25,,588,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511,408,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.86602725,0,,0.000488958,,488.958,,488,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511,408,588,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.866533917,1,,0.000506667,,506.667,,506,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511,408,588,488,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.867023625,0,,0.000489708,,489.708,,489,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511,408,588,488,506,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.86755325,1,,0.000529625,,529.625,,529,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511,408,588,488,506,489,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.867973125,0,,0.000419875,,419.875,,419,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511,408,588,488,506,489,529,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.868526417,1,,0.000553292,,553.292,,553,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494,492,504,501,495,492,507,485,515,477,544,459,511,408,588,488,506,489,529,419,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
